Country,EdLevel,Employment,Job Title,Gender,YearsCodePro,Salary
Australia,Associate,freelancer,Other,Female,10,77468.83333333333
Australia,Associate,freelancer,Other,Female,22,119026.83333333333
Australia,Associate,freelancer,Other,Female,25,127462.5
Australia,Associate,freelancer,Other,Male,10,88582.668230563
Australia,Associate,freelancer,Other,Male,22,125693.5
Australia,Associate,freelancer,Other,Male,25,149962.5
Australia,Associate,freelancer,Senior Business Analyst,Female,10,90385.5
Australia,Associate,freelancer,Senior Operations Manager,Female,10,95385.5
Australia,Associate,freelancer,Senior Product Manager,Female,10,95385.5
Australia,Associate,freelancer,Senior Product Manager,Male,10,95385.5
Australia,Associate,full-time,Junior Business Analyst,Male,2,33375.5
Australia,Associate,full-time,Junior Business Analyst,Male,4,74231.75
Australia,Associate,full-time,Junior Business Development Associate,Female,3,71001.0
Australia,Associate,full-time,Junior Business Development Associate,Male,2,33375.5
Australia,Associate,full-time,Junior Financial Analyst,Female,3,71001.0
Australia,Associate,full-time,Junior Financial Analyst,Male,2,33375.5
Australia,Associate,full-time,Junior Financial Analyst,Male,3,71001.0
Australia,Associate,full-time,Junior Financial Analyst,Male,4,74231.75
Australia,Associate,full-time,Junior Marketing Coordinator,Female,2,33375.5
Australia,Associate,full-time,Junior Marketing Coordinator,Female,3,71001.0
Australia,Associate,full-time,Junior Marketing Coordinator,Male,2,33375.5
Australia,Associate,full-time,Junior Marketing Coordinator,Male,3,73501.0
Australia,Associate,full-time,Junior Marketing Manager,Female,4,71731.75
Australia,Associate,full-time,Junior Marketing Specialist,Female,2,33375.5
Australia,Associate,full-time,Junior Marketing Specialist,Male,3,68501.0
Australia,Associate,full-time,Junior Operations Analyst,Male,3,71001.0
Australia,Associate,full-time,Junior Sales Representative,Female,2,33375.5
Australia,Associate,full-time,Junior Sales Representative,Male,3,68501.0
Australia,Associate,full-time,Other,Female,0,54301.0
Australia,Associate,full-time,Other,Female,2,39625.5
Australia,Associate,full-time,Other,Female,3,71501.0
